,0,1,2,3,4
0,0.65,0.026005920552972295,0.023601692400367653,-0.11003908064645279,-0.15252063783284728
1,0.7,0.02503457855894041,0.023154396099677114,-0.1085884357574336,-0.14922371763053094
2,0.75,0.02422541248584806,0.02279442317050016,-0.10737000058785269,-0.1464545467905743
3,0.8,0.023537278697857884,0.022487437168116485,-0.10632658753686117,-0.14408315349286632
4,0.85,0.02294257810026222,0.02221692881056992,-0.10541944306535851,-0.14202146151217845
5,0.9,0.022421933704988167,0.02197387736256824,-0.10462111466562593,-0.1402070787855135
6,0.95,0.021961245355901732,0.021752779023781865,-0.10391146663277945,-0.138594242347226
7,1.00001,0.02154987392465897,0.02154991288910831,-0.1032751885246157,-0.13714815573776298
8,1.05,0.021179951541817787,0.021362744951956586,-0.10270091514074028,-0.13584298895622796
9,1.1,0.020844903963911136,0.021189139969720827,-0.10217905217304536,-0.13465693675692128
10,1.15,0.02053976114401662,0.021027534556660996,-0.10170233076207835,-0.1335734790047235
11,1.2,0.020260444481409186,0.020876617314673624,-0.10126475080807085,-0.1325789791092519
12,1.25,0.020003615848810708,0.02073529059200534,-0.10086137910754685,-0.1316622252444247
13,1.3,0.019766511988820804,0.020602620176279247,-0.10048811472965805,-0.13081389711285923
14,1.35,0.019546822362735763,0.02047780081108694,-0.10014151511269027,-0.13002617071065975
15,1.4,0.019342597507821472,0.02036013150787656,-0.09981866499891917,-0.12929242045208902
16,1.45,0.019152179236104773,0.020248997208909037,-0.09951707617719494,-0.12860699131180672
17,1.5,0.01897414674342266,0.0201438547459484,-0.09923460976365416,-0.12796502219012312
