,0,1,2,3
0,0.85,0.022211664738346935,0.0065883352616530645,0.2966160051154901
1,0.9,0.021973379356850654,0.006826620643149345,0.3106768664156797
2,0.95,0.021756212398456636,0.007043787601543363,0.32375982880379683
3,1.00001,0.021557338954964887,0.007242661045035112,0.3359719425558807
4,1.05,0.021374573664974916,0.007425426335025083,0.3473952955231398
5,1.1,0.021205881410088636,0.007594118589911363,0.35811379131350246
6,1.15,0.021049676617509575,0.007750323382490425,0.36819204034913955
7,1.2,0.020904581270959184,0.007895418729040815,0.377688441911496
8,1.25,0.020769417155229744,0.008030582844770255,0.3866542226365824
9,1.3,0.020643170641811946,0.008156829358188053,0.3951345217127988
10,1.35,0.020524964471750427,0.008275035528249573,0.40316929852126826
11,1.4,0.02041403495058848,0.008385965049411519,0.4107940967922059
12,1.45,0.02030971403303177,0.008490285966968228,0.41804064563191806
13,1.5,0.02021141474488457,0.008588585255115428,0.42493736156144957
